"Features_subset","number_of_features","Adj_R_sqr","AIC"
"Location ; Fuel_Type ; Owner_Type ; YEAR",4,0.708168506862251,22605.9973310446
"Mark ; Location ; Fuel_Type ; Owner_Type ; YEAR",5,0.809147857934956,20440.4118271552
"Transmission ; Owner_Type ; YEAR",3,0.674052215715305,23165.5556448724
"Mark ; Transmission ; Owner_Type ; YEAR",4,0.779895413887013,21165.3693314778
"Location ; Transmission ; Owner_Type ; YEAR",4,0.692945390348052,22867.3853873655
"Mark ; Location ; Transmission ; Owner_Type ; YEAR",5,0.797986895394927,20732.6850933741
"Fuel_Type ; Transmission ; Owner_Type ; YEAR",4,0.709993426319481,22564.6841039417
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; YEAR",5,0.797551886243326,20735.8739020194
"Location ; Fuel_Type ; Transmission ; Owner_Type ; YEAR",5,0.724136739815174,22316.6305644202
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; YEAR",6,0.813209850152225,20330.3914049813
"SEATS ; YEAR",2,0.677800843649828,23109.8471026097
"Mark ; SEATS ; YEAR",3,0.787757747123744,20981.6353981701
"Location ; SEATS ; YEAR",3,0.695401997685529,22829.9076042228
"Mark ; Location ; SEATS ; YEAR",4,0.804817687986896,20559.1393180496
"Fuel_Type ; SEATS ; YEAR",3,0.698181666119173,22774.6574801676
"Mark ; Fuel_Type ; SEATS ; YEAR",4,0.799572990144147,20688.0580216079
"Location ; Fuel_Type ; SEATS ; YEAR",4,0.712854214832622,22527.4373608985
"Mark ; Location ; Fuel_Type ; SEATS ; YEAR",5,0.814989020546434,20284.9559664729
"Transmission ; SEATS ; YEAR",3,0.695508551685973,22819.1628070188
"Mark ; Transmission ; SEATS ; YEAR",4,0.791085651493071,20901.0760282354
"Location ; Transmission ; SEATS ; YEAR",4,0.712221112962192,22537.8095674672
"Mark ; Location ; Transmission ; SEATS ; YEAR",5,0.807738118483238,20482.336126227
"Fuel_Type ; Transmission ; SEATS ; YEAR",4,0.720070471915234,22387.1683186487
"Mark ; Fuel_Type ; Transmission ; SEATS ; YEAR",5,0.805019002758717,20546.898886456
"Location ; Fuel_Type ; Transmission ; SEATS ; YEAR",5,0.733256158519525,22148.1308218116
"Mark ; Location ; Fuel_Type ; Transmission ; SEATS ; YEAR",6,0.819654712513143,20154.146535922
"Owner_Type ; SEATS ; YEAR",3,0.678203559622344,23104.3878467873
"Mark ; Owner_Type ; SEATS ; YEAR",4,0.788457118033594,20965.5934553003
"Location ; Owner_Type ; SEATS ; YEAR",4,0.696154744366514,22818.1323072697
"Mark ; Location ; Owner_Type ; SEATS ; YEAR",5,0.806039658867521,20527.7198851101
"Fuel_Type ; Owner_Type ; SEATS ; YEAR",4,0.698578464672007,22768.8630571614
"Mark ; Fuel_Type ; Owner_Type ; SEATS ; YEAR",5,0.800173041025249,20673.5752514859
"Location ; Fuel_Type ; Owner_Type ; SEATS ; YEAR",5,0.713625363049063,22514.5531048222
"Mark ; Location ; Fuel_Type ; Owner_Type ; SEATS ; YEAR",6,0.81612527338999,20254.1546368457
"Transmission ; Owner_Type ; SEATS ; YEAR",4,0.695967719240722,22812.369802209
"Mark ; Transmission ; Owner_Type ; SEATS ; YEAR",5,0.791807166377389,20884.2133323199
"Location ; Transmission ; Owner_Type ; SEATS ; YEAR",5,0.713009092095473,22524.6534709108
"Mark ; Location ; Transmission ; Owner_Type ; SEATS ; YEAR",6,0.808957302249553,20450.4979501383
"Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR",5,0.720529735736275,22379.6893212511
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR",6,0.805638263295025,20531.4731560018
"Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR",6,0.73406947271754,22133.3654061776
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR",7,0.82078224426507,20122.7711193445
"Mil_sections",1,0.466554676703897,25686.5308583206
"Mark ; Mil_sections",2,0.565515891869729,24653.6272584756
"Location ; Mil_sections",2,0.508955325735379,25269.1546040416
"Mark ; Location ; Mil_sections",3,0.609617804959433,24111.2680508634
"Fuel_Type ; Mil_sections",2,0.504015630722913,25312.8181417531
"Mark ; Fuel_Type ; Mil_sections",3,0.584775919077444,24421.6554017351
"Location ; Fuel_Type ; Mil_sections",3,0.549327872613978,24828.4464436191
"Mark ; Location ; Fuel_Type ; Mil_sections",4,0.632089392234232,23807.3349740732
"Transmission ; Mil_sections",2,0.483631714964604,25519.6424859689
"Mark ; Transmission ; Mil_sections",3,0.577435444384298,24511.0848727553
"Location ; Transmission ; Mil_sections",3,0.524141530965318,25108.052275223
"Mark ; Location ; Transmission ; Mil_sections",4,0.61897823776138,23987.0282077376
"Fuel_Type ; Transmission ; Mil_sections",3,0.530153259146531,25034.4655515753
"Mark ; Fuel_Type ; Transmission ; Mil_sections",4,0.601733544120342,24207.4922331128
"Location ; Fuel_Type ; Transmission ; Mil_sections",4,0.572936377105344,24551.7986876118
"Mark ; Location ; Fuel_Type ; Transmission ; Mil_sections",5,0.645883706670672,23611.1392116359
"Owner_Type ; Mil_sections",2,0.496583566639164,25388.5655102209
"Mark ; Owner_Type ; Mil_sections",3,0.597807339361037,24256.1241109576
"Location ; Owner_Type ; Mil_sections",3,0.534084825157524,24999.0891396617
"Mark ; Location ; Owner_Type ; Mil_sections",4,0.636896603080286,23738.4768977374
"Fuel_Type ; Owner_Type ; Mil_sections",3,0.532237322952327,25011.5268166552
"Mark ; Fuel_Type ; Owner_Type ; Mil_sections",4,0.615022986374237,24032.3740067112
"Location ; Fuel_Type ; Owner_Type ; Mil_sections",4,0.571956218415067,24563.6278941661
"Mark ; Location ; Fuel_Type ; Owner_Type ; Mil_sections",5,0.65690228397897,23448.0312067669
"Transmission ; Owner_Type ; Mil_sections",3,0.513221167033411,25216.1479437461
"Mark ; Transmission ; Owner_Type ; Mil_sections",4,0.608580538931826,24117.0164676068
"Location ; Transmission ; Owner_Type ; Mil_sections",4,0.548909504419467,24833.2343556119
"Mark ; Location ; Transmission ; Owner_Type ; Mil_sections",5,0.645317414563097,23618.3926420939
"Fuel_Type ; Transmission ; Owner_Type ; Mil_sections",4,0.557631919494871,24724.5005072023
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; Mil_sections",5,0.630402088471783,23823.0049093093
"Location ; Fuel_Type ; Transmission ; Owner_Type ; Mil_sections",5,0.594884470924138,24280.5499772552
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; Mil_sections",6,0.669379012839353,23257.882746723
"SEATS ; Mil_sections",2,0.48821581948169,25478.6223119171
"Mark ; SEATS ; Mil_sections",3,0.581420226665923,24467.1625383635
"Location ; SEATS ; Mil_sections",3,0.529855965863174,25050.695376668
"Mark ; Location ; SEATS ; Mil_sections",4,0.625613107518575,23901.3412283894
"Fuel_Type ; SEATS ; Mil_sections",3,0.512962778567094,25224.8757273523
"Mark ; Fuel_Type ; SEATS ; Mil_sections",4,0.59595928586124,24286.732606524
"Location ; Fuel_Type ; SEATS ; Mil_sections",4,0.557200064599901,24743.4945939913
"Mark ; Location ; Fuel_Type ; SEATS ; Mil_sections",5,0.642719769640743,23661.9932468611
"Transmission ; SEATS ; Mil_sections",3,0.517410999206606,25176.5339866154
"Mark ; Transmission ; SEATS ; Mil_sections",4,0.595935450486013,24286.0443195364
"Location ; Transmission ; SEATS ; Mil_sections",4,0.556500259791414,24750.647249005
"Mark ; Location ; Transmission ; SEATS ; Mil_sections",5,0.637445549729389,23736.6184049061
"Fuel_Type ; Transmission ; SEATS ; Mil_sections",4,0.546810683159989,24854.1954336351
"Mark ; Fuel_Type ; Transmission ; SEATS ; Mil_sections",5,0.614385708870984,24046.8664732339
"Location ; Fuel_Type ; Transmission ; SEATS ; Mil_sections",5,0.588016666504699,24372.2727934963
"Mark ; Location ; Fuel_Type ; Transmission ; SEATS ; Mil_sections",6,0.657988765324877,23437.6112310272
"Owner_Type ; SEATS ; Mil_sections",3,0.516996790845144,25180.9609388096
